1970,1980,1990,2000,2010,State Name
3444165,3893888,4040587,4447100,4779735,AL Alabama
300382,401851,550043,626932,710231,AK Alaska
1770900,2718215,3665228,5130632,6329013,AZ Arizona
1923295,2286435,2350725,2673400,2915921,AR Arkansas
19953134,23667902,29760021,33871648,37253956,CA California
2207259,2889964,3294394,4301261,5029196,CO Colorado
3031709,3107576,3287116,3405565,3574097,CT Connecticut
548104,594338,666168,783600,897934,DE Delaware
756510,638333,606900,572059,601723,DC District of Columbia
6789443,9746324,12937926,15982378,18801311,FL Florida
4589575,5463105,6478216,8186453,9687653,GA Georgia
768561,964691,1108229,1211537,1360301,HI Hawaii
712567,943935,1006749,1293953,1567582,ID Idaho
11113976,11426518,11430602,12419293,12830632,IL Illinois
5193669,5490224,5544159,6080485,6483800,IN Indiana
2824376,2913808,2776755,2926324,3046350,IA Iowa
2246578,2363679,2477574,2688418,2853118,KS Kansas
3218706,3660777,3685296,4041769,4339362,KY Kentucky
3641306,4205900,4219973,4468976,4515770,LA Louisiana
992048,1124660,1227928,1274923,1328361,ME Maine
3922399,4216975,4781468,5296486,5773552,MD Maryland
5689170,5737037,6016425,6349097,6547629,MA Massachusetts
8875083,9262078,9295297,9938444,9883635,MI Michigan
3804971,4075970,4375099,4919479,5303925,MN Minnesota
2216912,2520638,2573216,2844658,2967297,MS Mississippi
4676501,4916686,5117073,5595211,5988927,MO Missouri
694409,786690,799065,902195,989415,MT Montana
1483493,1569825,1578385,1711263,1826341,NE Nebraska
488738,800493,1201833,1998257,2700551,NV Nevada
737681,920610,1109252,1235786,1316472,NH New Hampshire
7168164,7364823,7730188,8414350,8791894,NJ New Jersey
1016000,1302894,1515069,1819046,2059180,NM New Mexico
18236967,17558072,17990455,18976457,19378104,NY New York
5082059,5881766,6628637,8049313,9535475,NC North Carolina
617761,652717,638800,642200,672591,ND North Dakota
10652017,10797630,10847115,11353140,11536502,OH Ohio
2559229,3025290,3145585,3450654,3751354,OK Oklahoma
2091385,2633105,2842321,3421399,3831074,OR Oregon
11793909,11863895,11881643,12281054,12702379,PA Pennsylvania
946725,947154,1003464,1048319,1052567,RI Rhode Island
2590516,3121820,3486703,4012012,4625364,SC South Carolina
665507,690768,696004,754844,814180,SD South Dakota
3923687,4591120,4877185,5689283,6346110,TN Tennessee
11196730,14229191,16986510,20851820,25145561,TX Texas
1059273,1461037,1722850,2233169,2763885,UT Utah
444330,511456,562758,608827,625741,VT Vermont
4648494,5346818,6187358,7078515,8001024,VA Virginia
3409169,4132156,4866692,5894121,6724540,WA Washington
1744237,1949644,1793477,1808344,1852996,WV West Virginia
4417731,4705767,4891769,5363675,5686986,WI Wisconsin
332416,469557,453588,493782,563626,WY Wyoming
