State, Area,Abbreviation
Alabama,"50,750",AL
Alaska,"570,641",AK
Arizona,"113,642",AZ
Arkansas,"52,075",AR
California,"155,973",CA
Colorado,"103,730",CO
Connecticut,"4,845",CT
Delaware,"1,955",DE
District of Columbia, 68,DC
Florida,"53,997",FL
Georgia,"57,919",GA
Hawaii,"6,423",HI
Idaho,"82,751",ID
Illinois,"55,593",IL
Indiana,"35,870",IN
Iowa,"55,875",IA
Kansas,"81,823",KS
Kentucky,"39,732",KY
Louisiana,"43,566",LA
Maine,"30,865",ME
Maryland,"9,775",MD
Massachusetts,"7,838",MA
Michigan,"56,539",MI
Minnesota,"79,617",MN
Mississippi,"46,914",MS
Missouri,"68,898",MO
Montana,"145,556",MT
Nebraska,"76,878",NE
Nevada,"109,806",NV
New Hampshire,"8,969",NH
New Jersey,"7,419",NJ
New Mexico,"121,365",NM
New York,"47,224",NY
North Carolina,"48,718",NC
North Dakota,"68,994",ND
Ohio,"40,953",OH
Oklahoma,"68,679",OK
Oregon,"96,003",OR
Pennsylvania,"44,820",PA
Rhode Island,"1,034",RI
South Carolina,"30,111",SC
South Dakota,"75,898",SD
Tennessee,"41,220",TN
Texas,"261,914",TX
Utah,"82,168",UT
Vermont,"9,249",VT
Virginia,"39,598",VA
Washington,"66,582",WA
West Virginia,"24,087",WV
Wisconsin,"54,314",WI
Wyoming,"97,105",WY
