1970,1980,1990,2000,2010,State,Abbreviation
67,76,79,87,94,Alabama,AL
0,0,0,1,1,Alaska,AK
15,23,32,45,55,Arizona,AZ
36,43,45,51,55,Arkansas,AR
127,151,190,217,238,California,CA
21,27,31,41,48,Colorado,CO
625,641,678,702,737,Connecticut,CT
8060,8740,9796,11523,13204,Delaware,DE
386,326,310,292,307,District of Columbia,DC
125,180,239,295,348,Florida,FL
79,94,111,141,167,Georgia,GA
119,150,172,188,211,Hawaii,HI
8,11,12,15,18,Idaho,ID
199,205,205,223,230,Illinois,IL
144,153,154,169,180,Indiana,IN
50,52,49,52,54,Iowa,IA
27,28,30,32,34,Kansas,KS
81,92,92,101,109,Kentucky,KY
83,96,96,102,103,Louisiana,LA
32,36,39,41,43,Maine,ME
401,431,489,541,590,Maryland,MD
725,731,767,810,835,Massachusetts,MA
156,163,164,175,174,Michigan,MI
47,51,54,61,66,Minnesota,MN
47,53,54,60,63,Mississippi,MS
67,71,74,81,86,Missouri,MO
4,5,5,6,6,Montana,MT
19,20,20,22,23,Nebraska,NE
4,7,10,18,24,Nevada,NV
82,102,123,137,146,New Hampshire,NH
966,992,1041,1134,1185,New Jersey,NJ
8,10,12,14,16,New Mexico,NM
386,371,380,401,410,New York,NY
104,120,136,165,195,North Carolina,NC
8,9,9,9,9,North Dakota,ND
260,263,264,277,281,Ohio,OH
37,44,45,50,54,Oklahoma,OK
21,27,29,35,39,Oregon,OR
263,264,265,274,283,Pennsylvania,PA
915,916,970,1013,1017,Rhode Island,RI
86,103,115,133,153,South Carolina,SC
8,9,9,9,10,South Dakota,SD
95,111,118,138,153,Tennessee,TN
42,54,64,79,96,Texas,TX
12,17,20,27,33,Utah,UT
48,55,60,65,67,Vermont,VT
117,135,156,178,202,Virginia,VA
51,62,73,88,100,Washington,WA
72,80,74,75,76,West Virginia,WV
81,86,90,98,104,Wisconsin,WI
3,4,4,5,5,Wyoming,WY
